,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
176,"                                6,000                            ",                                0.00%                            ,"                                CHANGCHUN GAS CO.,LTD (A #600333)                            ",                                90333                            
177,"                                807,555                            ",                                0.09%                            ,"                                SINOMACH AUTOMOBILE CO., LTD. (A #600335)                            ",                                90335                            
178,"                                2,501,058                            ",                                0.16%                            ,"                                MARKOR INTERNATIONAL HOME FURNISHINGS CO., LTD. (A #600337)                            ",                                90337                            
179,"                                9,880,910                            ",                                0.33%                            ,"                                CHINA FORTUNE LAND DEVELOPMENT CO., LTD. (A #600340)                            ",                                90340                            
180,"                                1,671,958                            ",                                0.26%                            ,"                                SHAANXI AEROSPACE POWER HI-TECH CO.,LTD (A #600343)                            ",                                90343                            
181,"                                9,912,047                            ",                                0.41%                            ,"                                YANG QUAN COAL INDUSTRY (GROUP) CO., LTD. (A #600348)                            ",                                90348                            
182,"                                29,099,983                            ",                                0.60%                            ,                                SHANDONG HI-SPEED COMPANY LIMITED (A #600350)                            ,                                90350                            
183,"                                1,604,485                            ",                                0.23%                            ,"                                YABAO PHARMACEUTICAL GROUP CO., LTD. (A #600351)                            ",                                90351                            
184,"                                13,360,822                            ",                                0.43%                            ,"                                ZHEJIANG LONGSHENG GROUP CO.,LTD (A #600352)                            ",                                90352                            
185,"                                3,200                            ",                                0.00%                            ,"                                CHENGDU XUGUANG ELECTRONICS CO,.LTD (A #600353)                            ",                                90353                            
186,"                                3,672,870                            ",                                0.17%                            ,                                JIANGXI COPPER COMPANY LIMITED (A #600362)                            ,                                90362                            
187,"                                1,643,725                            ",                                0.37%                            ,"                                JIANXI LIANCHUANG OPTO-ELECTRONIC SCIENCE&TECHNOLOGY; CO.,LTD (A #600363)                            ",                                90363                            
188,"                                1,958,193                            ",                                0.37%                            ,"                                NINGBO YUNSHENG CO.,LTD. (A #600366)                            ",                                90366                            
189,"                                14,313,881                            ",                                0.25%                            ,"                                SOUTHWEST SECURITIES CO., LTD. (A #600369)                            ",                                90369                            
190,"                                2,150,183                            ",                                0.12%                            ,"                                CHINA AVIONICS SYSTEMS CO.,LTD. (A #600372)                            ",                                90372                            
191,"                                1,391,009                            ",                                0.10%                            ,"                                CHINESE UNIVERSE PUBLISHING AND MEDIA CO., LTD. (A #600373)                            ",                                90373                            
192,"                                310,207                            ",                                0.05%                            ,"                                HUALING XINGMA AUTOMOBILE(GROUP)CO.,LTD. (A #600375)                            ",                                90375                            
193,"                                5,927,311                            ",                                0.23%                            ,"                                BEIJING CAPITAL DEVELOPMENT,CO.,LTD (A #600376)                            ",                                90376                            
194,"                                75,167,323                            ",                                1.97%                            ,                                JIANGSU EXPRESSWAY COMPANY LIMITED (A #600377)                            ,                                90377                            
195,"                                3,581                            ",                                0.00%                            ,"                                SICHUAN TIANYI SCIENCE & TECHNOLOGY CO.,LTD. (A #600378)                            ",                                90378                            
196,"                                4,339,024                            ",                                0.27%                            ,"                                JOINCARE PHARMACEUTICAL GROUP INDUSTRY CO.,LTD. (A #600380)                            ",                                90380                            
197,"                                25,900                            ",                                0.01%                            ,"                                QINGHAI SPRING MEDICINAL RESOURCES TECHNOLOGY CO.,LTD (A #600381)                            ",                                90381                            
198,"                                32,300                            ",                                0.00%                            ,"                                GUANGDONG MINGZHU GROUP CO.,LTD. (A #600382)                            ",                                90382                            
199,"                                11,481,677                            ",                                0.25%                            ,                                GEMDALE CORPORATION (A #600383)                            ,                                90383                            
200,"                                657,152                            ",                                0.16%                            ,"                                BEIJING BASHI MEDIA CO,.LTD (A #600386)                            ",                                90386                            
201,"                                1,103,565                            ",                                0.28%                            ,"                                ZHEJIANG HAIYUE CO.,LTD (A #600387)                            ",                                90387                            
202,"                                4,347,353                            ",                                0.40%                            ,"                                FUJIAN LONGKING CO.,LTD (A #600388)                            ",                                90388                            
203,"                                49,900                            ",                                0.01%                            ,"                                NANTONG JIANGSHAN AGROCHEMICAL & CHEMICALS CO., LTD. (A #600389)                            ",                                90389                            
204,"                                724,817                            ",                                0.21%                            ,"                                AECC AERO SCIENCE & TECHNOLOGY CO.,LTD. (A #600391)                            ",                                90391                            
205,"                                1,161,218                            ",                                0.07%                            ,"                                GUIZHOU PANJIANG REFINED COAL CO.,LTD. (A #600395)                            ",                                90395                            
206,"                                255,483                            ",                                0.02%                            ,"                                SHENYANG JINSHAN ENERGY CO., LTD (A #600396)                            ",                                90396                            
207,"                                2,638,182                            ",                                0.26%                            ,"                                ANYUAN COAL INDUSTRY GROUP CO., LTD. (A #600397)                            ",                                90397                            
208,"                                19,796,791                            ",                                0.44%                            ,"                                HEILAN HOME CO.,LTD (A #600398)                            ",                                90398                            
209,"                                1,283,040                            ",                                0.11%                            ,"                                FUSHUN SPECIAL STEEL CO.,LTD (A #600399)                            ",                                90399                            
210,"                                2,145,202                            ",                                0.17%                            ,"                                JIANGSU HONGDOU INDUSTRY CO.,LTD. (A #600400)                            ",                                90400                            
211,"                                86,559                            ",                                0.00%                            ,"                                HENAN DAYOU ENERGY CO., LTD (A #600403)                            ",                                90403                            
212,"                                302,591                            ",                                0.05%                            ,"                                BEIJING DYNAMIC POWER CO., LTD (A #600405)                            ",                                90405                            
213,"                                29,070,064                            ",                                1.31%                            ,"                                NARI TECHNOLOGY CO., LTD. (A #600406)                            ",                                90406                            
214,"                                18,899,616                            ",                                1.02%                            ,"                                TANGSHAN SANYOU CHEMICAL INDUSTRIES CO.,LTD (A #600409)                            ",                                90409                            
215,"                                6,613,699                            ",                                0.74%                            ,"                                BEIJING TEAMSUN TECHNOLOGY CO.,LTD (A #600410)                            ",                                90410                            
216,"                                8,340,378                            ",                                0.15%                            ,"                                ZHEJIANG CHINA COMMODITIES CITY GROUP CO.,LTD. (A #600415)                            ",                                90415                            
217,"                                2,915,333                            ",                                0.41%                            ,"                                XIANGTAN ELECTRIC MANUFACTURING CO., LTD. (A #600416)                            ",                                90416                            
218,"                                3,530,140                            ",                                0.34%                            ,"                                ANHUI JIANGHUAI AUTOMOBILE GROUP CORP., LTD(A #600418)                            ",                                90418                            
219,"                                1,510,199                            ",                                0.26%                            ,"                                SHANGHAI SHYNDEC PHARMACEUTICAL CO., LTD. (A #600420)                            ",                                90420                            
220,"                                2,258,908                            ",                                0.33%                            ,"                                KPC PHARMACEUTICALS, INC. (A #600422)                            ",                                90422                            
221,"                                251,287                            ",                                0.01%                            ,                                XINJIANG QINGSONG BUILDING MATERIALS AND CHEMICALS (GROUP) CO LTD (A #600425)                            ,                                90425                            
222,"                                4,878,437                            ",                                0.30%                            ,"                                SHANDONG HUALU-HENGSHENG CHEMICAL CO., LTD (A #600426)                            ",                                90426                            
223,"                                1,434,123                            ",                                0.08%                            ,"                                COSCO SHIPPING SPECIALIZED CARRIERS CO., LTD.(A #600428)                            ",                                90428                            
224,"                                335,001                            ",                                0.04%                            ,"                                JILIN JIEN NICKEL INDUSTRY CO., LTD (A #600432)                            ",                                90432                            
225,"                                527,033                            ",                                0.04%                            ,"                                GUANGDONG GUANHAO HIGH-TECH CO., LTD (A #600433)                            ",                                90433                            
226,"                                4,587,852                            ",                                0.30%                            ,"                                NORTH NAVIGATION CONTROL TECHNOLOGY CO., LTD. (A #600435)                            ",                                90435                            
227,"                                2,373,898                            ",                                0.39%                            ,"                                ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL CO.,LTD. (A #600436)                            ",                                90436                            
228,"                                5,725,387                            ",                                0.25%                            ,"                                TONGWEI CO.,LTD (A #600438)                            ",                                90438                            
229,"                                2,963,487                            ",                                0.26%                            ,"                                HENAN REBECCA HAIR PRODUCTS CO., LTD (A #600439)                            ",                                90439                            
230,"                                2,944,348                            ",                                0.36%                            ,"                                SHENZHEN KINGDOM TECHNOLOGY CO.,LTD (A #600446)                            ",                                90446                            
231,"                                653,439                            ",                                0.13%                            ,"                                NINGXIA BUILDING MATERIALS GROUP CO.,LTD (A #600449)                            ",                                90449                            
232,"                                763,025                            ",                                0.11%                            ,"                                ZHUZHOU TIMES NEW MATERIALS TECHNOLOGY CO.,LTD. (A #600458)                            ",                                90458                            
233,"                                463,378                            ",                                0.17%                            ,"                                SINO-PLATINUM METALS CO.,LTD (A #600459)                            ",                                90459                            
234,"                                6,154,792                            ",                                0.49%                            ,"                                HANGZHOU SILAN MICROELECTRONICS CO.,LTD. (A #600460)                            ",                                90460                            
235,"                                3,573,694                            ",                                0.40%                            ,"                                SICHUAN LANGUANG DEVELOPMENT CO., LTD. (A #600466)                            ",                                90466                            
236,"                                162,000                            ",                                0.01%                            ,"                                SHANDONG HOMEY AQUATIC DEVELOPMENT CO.,LTD. (A #600467)                            ",                                90467                            
237,"                                811,698                            ",                                0.10%                            ,"                                TIANJIN BENEFO TEJING ELECTRIC CO.,LTD. (A #600468)                            ",                                90468                            
238,                                300                            ,                                0.00%                            ,"                                AEOLUS TYRE CO.,LTD (A #600469)                            ",                                90469                            
239,                                900                            ,                                0.00%                            ,"                                ANHUI LIUGUO CHEMICAL CO.,LTD. (A #600470)                            ",                                90470                            
240,"                                3,414,317                            ",                                0.27%                            ,"                                HANGXIAO STEEL STRUCTURE CO.,LTD (A #600477)                            ",                                90477                            
241,"                                100,042                            ",                                0.00%                            ,"                                HUNAN CORUN NEW ENERGY CO.,LTD. (A #600478)                            ",                                90478                            
242,"                                742,253                            ",                                0.24%                            ,"                                ZHUZHOU QIANJIN PHARMACEUTICAL CO., LTD. (A #600479)                            ",                                90479                            
243,"                                438,822                            ",                                0.12%                            ,                                LINGYUN INDUSTRIAL CORPORATION LIMITED (A #600480)                            ,                                90480                            
244,"                                5,775,826                            ",                                0.35%                            ,"                                SHUANGLIANG ECO-ENERGY SYSTEMS CO.,LTD (A #600481)                            ",                                90481                            
245,"                                19,555,719                            ",                                2.15%                            ,"                                CHINA SHIPBUILDING INDUSTRY GROUP POWER CO., LTD. (A #600482)                            ",                                90482                            
246,"                                792,034                            ",                                0.27%                            ,"                                FUJIAN FUNENG CO., LTD (A #600483)                            ",                                90483                            
247,"                                3,298,294                            ",                                0.20%                            ,"                                BEIJING XINWEI TECHNOLOGY GROUP CO., LTD. (A #600485)                            ",                                90485                            
248,"                                1,750,986                            ",                                0.56%                            ,"                                JIANGSU YANGNONG CHEMICAL CO.,LTD. (A #600486)                            ",                                90486                            
249,"                                10,034,427                            ",                                0.80%                            ,"                                HENGTONG OPTIC-ELECTRIC CO.,LTD. (A #600487)                            ",                                90487                            
250,"                                988,330                            ",                                0.10%                            ,"                                TIANJIN TIANYAO PHARMACEUTICAL CO., LTD. (A #600488)                            ",                                90488                            
251,"                                6,192,251                            ",                                0.17%                            ,                                ZHONGJIN GOLD CORPORATION LIMITED (A #600489)                            ,                                90489                            
252,"                                1,538,677                            ",                                0.10%                            ,"                                PENGXIN INTERNATIONAL MINING CO.,LTD (A #600490)                            ",                                90490                            
253,"                                3,448,484                            ",                                0.36%                            ,"                                LONG YUAN CONSTRUCTION GUOUP CO.,LTD (A #600491)                            ",                                90491                            
254,"                                1,311,134                            ",                                0.10%                            ,                                JINXI AXLE COMPANY LIMITED (A #600495)                            ,                                90495                            
255,"                                4,723,672                            ",                                0.31%                            ,"                                CHANGJIANG & JINGGONG STEEL BUILDING (GROUP) CO.,LTD (A #600496)                            ",                                90496                            
256,"                                17,673,963                            ",                                0.41%                            ,"                                YUNNAN CHIHONG ZINC&GERMANIUM; CO.,LTD. (A #600497)                            ",                                90497                            
257,"                                8,763,103                            ",                                0.86%                            ,"                                FIBERHOME TELECOMMUNICATION TECHNOLOGIES CO.,LTD. (A #600498)                            ",                                90498                            
258,"                                2,822,188                            ",                                0.19%                            ,"                                KEDA CLEAN ENERGY CO., LTD. (A #600499)                            ",                                90499                            
259,"                                3,609,486                            ",                                0.20%                            ,                                SINOCHEM INTERNATIONAL CORPORATION (A #600500)                            ,                                90500                            
260,"                                740,354                            ",                                0.18%                            ,                                AEROSUN CORPORATION (A #600501)                            ,                                90501                            
261,"                                736,278                            ",                                0.09%                            ,"                                ANHUI WATER RESOURCES DEVELOPMENT CO.,LTD. (A #600502)                            ",                                90502                            
262,"                                4,002,099                            ",                                0.25%                            ,"                                DELUXE FAMILY CO., LTD. (A #600503)                            ",                                90503                            
263,"                                3,058,684                            ",                                0.23%                            ,"                                FANGDA SPECIAL STEEL TECHNOLOGY CO., LTD (A #600507)                            ",                                90507                            
264,                                100                            ,                                0.00%                            ,"                                SHANGHAI DATUN ENERGY RESOURSES CO.,LTD. (A #600508)                            ",                                90508                            
265,"                                1,970,260                            ",                                0.21%                            ,"                                XINJIANG TIANFU ENERGY CO.,LTD (A #600509)                            ",                                90509                            
266,"                                1,041,088                            ",                                0.13%                            ,"                                BLACK PEONY (GROUP) CO., LTD. (A #600510)                            ",                                90510                            
267,"                                1,697,443                            ",                                0.61%                            ,                                CHINA NATIONAL MEDICINES CORPORATION LTD. (A #600511)                            ,                                90511                            
268,"                                363,361                            ",                                0.12%                            ,"                                JIANGSU LIANHUAN PHARMACEUTICAL CO., LTD. (A #600513)                            ",                                90513                            
269,"                                4,732,859                            ",                                0.27%                            ,"                                FANGDA CARBON NEW MATERIAL CO.,LTD (A #600516)                            ",                                90516                            
270,"                                2,355,049                            ",                                0.18%                            ,"                                SHANGHAI ZHIXIN ELECTRIC CO.,LTD (A #600517)                            ",                                90517                            
271,"                                14,118,084                            ",                                0.32%                            ,"                                KANGMEI PHARMACEUTICAL CO., LTD (A #600518)                            ",                                90518                            
272,"                                76,022,362                            ",                                6.05%                            ,"                                KWEICHOW MOUTAI CO.,LTD. (A #600519)                            ",                                90519                            
273,"                                2,659,411                            ",                                0.25%                            ,"                                ZHEJIANG HUAHAI PHARMACEUTICAL CO.,LTD. (A #600521)                            ",                                90521                            
274,"                                6,731,361                            ",                                0.29%                            ,"                                JIANGSU ZHONGTIAN TECHNOLOGY CO.,LTD. (A #600522)                            ",                                90522                            
275,"                                106,800                            ",                                0.03%                            ,"                                GUIZHOU GUIHANG AOTOMOTIVE COMPONENTS CO., LTD (A #600523)                            ",                                90523                            
276,"                                1,858,303                            ",                                0.15%                            ,                                CHANGYUAN GROUP LTD. (A #600525)                            ,                                90525                            
277,"                                1,195,094                            ",                                0.29%                            ,"                                ZHEJIANG FEIDA ENVIRONMENTAL SCIENCE &TECHNOLOGY; CO.,LTD. (A #600526)                            ",                                90526                            
278,"                                3,218,271                            ",                                0.40%                            ,"                                JIANGSU JIANGNAN HIGH POLYMER FIBER CO.,LTD (A #600527)                            ",                                90527                            
279,"                                1,296,636                            ",                                0.08%                            ,                                CHINA RAILWAY HI-TECH INDUSTRY CORPORATION LIMITED (A #600528)                            ,                                90528                            
280,"                                125,005                            ",                                0.01%                            ,                                HENAN YUGUANG GOLD&LEAD; CO.LTD (A #600531)                            ,                                90531                            
281,"                                63,011                            ",                                0.01%                            ,"                                SHANGHAI HONGDA MINING CO.,LTD (A #600532)                            ",                                90532                            
282,"                                32,214,166                            ",                                3.11%                            ,"                                TASLY PHARMACEUTICA GROUP CO., LTD. (A #600535)                            ",                                90535                            
283,"                                845,257                            ",                                0.17%                            ,                                CHINA NATIONAL SOFTWARE & SERVICE COMPANY LIMITED (A #600536)                            ,                                90536                            
284,"                                1,602,083                            ",                                0.13%                            ,"                                EGING PHOTOVOLTAIC TECHNOLOGY CO., LTD. (A #600537)                            ",                                90537                            
285,"                                372,087                            ",                                0.05%                            ,                                XINJIANG URBAN CONSTRUCTION (GROUP) CO LTD (A #600545)                            ,                                90545                            
286,"                                240,799                            ",                                0.01%                            ,"                                SHANXI COAL INTERNATIONAL ENERGY GROUP CO.,LTD (A #600546)                            ",                                90546                            
287,"                                4,534,116                            ",                                0.31%                            ,"                                SHANDONG GOLD MINING CO.,LTD. (A #600547)                            ",                                90547                            
288,"                                3,806,239                            ",                                0.26%                            ,"                                SHENZHEN EXPRESSWAY CO., LTD. (A #600548)                            ",                                90548                            
289,"                                3,175,955                            ",                                0.35%                            ,                                XIAMEN TUNGSTEN CORP. (A #600549)                            ,                                90549                            
290,"                                435,586                            ",                                0.08%                            ,"                                TIME PUBLISHING & MEDIA CO., LTD. (A #600551)                            ",                                90551                            
291,"                                3,195,030                            ",                                0.43%                            ,"                                TRIUMPH SCIENCE & TECHNOLOGY CO., LTD (A #600552)                            ",                                90552                            
292,"                                1,910,020                            ",                                0.43%                            ,"                                JIANGSU KANION PHARMACEUTICAL CO.,LTD. (A #600557)                            ",                                90557                            
293,"                                12,910,582                            ",                                3.68%                            ,"                                HEBEI HENGSHUI LAOBAIGAN LIQUOR CO.,LTD. (A #600559)                            ",                                90559                            
294,"                                19,900                            ",                                0.00%                            ,"                                JIANGXI CHANGYUN CO., LTD. (A #600561)                            ",                                90561                            
295,"                                1,229,011                            ",                                0.37%                            ,"                                GLARUN TECHNOLOGY CO.,LTD. (A #600562)                            ",                                90562                            
296,"                                418,461                            ",                                0.18%                            ,"                                XIAMEN FARATRONIC CO.,LTD. (A #600563)                            ",                                90563                            
297,"                                2,391,766                            ",                                0.10%                            ,"                                CHONGQING DIMA INDUSTRY CO.,LTD (A #600565)                            ",                                90565                            
298,"                                4,646,839                            ",                                0.57%                            ,"                                HUBEI JUMPCAN PHARMACEUTICAL CO., LTD. (A #600566)                            ",                                90566                            
299,"                                26,978,375                            ",                                0.59%                            ,"                                ANHUI SHANYING PAPER INDUSTRY CO.,LTD (A #600567)                            ",                                90567                            
300,"                                429,003                            ",                                0.07%                            ,"                                ZHONGZHU HEALTHCARE HOLDING CO., LTD (A #600568)                            ",                                90568                            
301,"                                3,813,096                            ",                                0.61%                            ,                                HUNDSUN TECHNOLOGIES INC. (A #600570)                            ,                                90570                            
302,"                                1,343,281                            ",                                0.31%                            ,"                                SUNYARD SYSTEM ENGINEERING CO.,LTD. (A #600571)                            ",                                90571                            
303,"                                4,806,461                            ",                                0.23%                            ,"                                ZHEJIANG CONBA PHARMACEUTICAL CO.,LTD. (A #600572)                            ",                                90572                            
304,"                                1,139,866                            ",                                0.08%                            ,"                                TONGLING JINGDA SPECIAL MAGNET WIRE CO.,LTD. (A #600577)                            ",                                90577                            
305,"                                6,230,895                            ",                                0.13%                            ,"                                BEIJING JINGNENG POWER CO.,LTD. (A #600578)                            ",                                90578                            
306,"                                1,797,696                            ",                                0.16%                            ,"                                WOLONG ELECTRIC GROUP CO.,LTD. (A #600580)                            ",                                90580                            
307,"                                6,053,970                            ",                                0.21%                            ,"                                TIANDI SCIENCE & TECHNOLOGY CO.,LTD (A #600582)                            ",                                90582                            
308,"                                8,352,436                            ",                                0.18%                            ,"                                OFFSHORE OIL ENGINEERING CO., LTD. (A #600583)                            ",                                90583                            
309,"                                26,630,665                            ",                                2.70%                            ,"                                JIANGSU CHANGJIANG ELECTRONICS TECHNOLOGY CO., LTD. (A #600584)                            ",                                90584                            
310,"                                174,231,045                            ",                                4.35%                            ,                                ANHUI CONCH CEMENT COMPANY LIMITED (A #600585)                            ,                                90585                            
311,"                                4,841,819                            ",                                0.33%                            ,"                                SHANDONG JINJING SCIENCE & TECHNOLOGY CO.,LTD (A #600586)                            ",                                90586                            
312,"                                1,853,306                            ",                                0.45%                            ,"                                SHINVA MEDICAL INSTRUMENT CO, LTD (A #600587)                            ",                                90587                            
313,"                                5,536,779                            ",                                0.37%                            ,"                                YONYOU NETWORK TECHNOLOGY CO., LTD. (A #600588)                            ",                                90588                            
314,                                101                            ,                                0.00%                            ,"                                GUANGDONG RONGTAI INDUSTRY CO.,LTD (A #600589)                            ",                                90589                            
315,"                                1,818,167                            ",                                0.22%                            ,"                                GUIZHOU YIBAI PHARMACEUTICAL CO., LTD. (A #600594)                            ",                                90594                            
316,"                                1,542,322                            ",                                0.22%                            ,"                                ZHEJIANG XINAN CHEMICAL INDUSTRIAL GROUP CO.,LTD (A #600596)                            ",                                90596                            
317,"                                3,992,777                            ",                                0.32%                            ,"                                BRIGHT DAIRY & FOOD CO.,LTD (A #600597)                            ",                                90597                            
